"","Date","Month","Year","Landing Site","Data Collector","Group","Fishgear","# Boats","#Fishers","Family","Species","Length","Weight_kg","Weight_g","FishGroups","EnglishName","KiswahiliName","Bycatch","Price_KSHPerkg","FunGr_Diet","TrophLevel","SE_TrophLevel","Vulnerability","Lmat_cm","Lopt_cm","Linf_cm","SizeCategory","Diet","Mobility","Active","Schooling","Position","TempPrefMin_degC","TempPrefMean_degC","TempPrefMax_degC","Calcium_mgPer100g","Calicum_L95","Calcium_U95","Iron_mgPer100g","Iron_L95","Iron_U95","Omega3_gPer100g","Omega3_L95","Omega3_U95","Protein_gPer100g","Protein_L95","Protein_U95","VitaminA_ugPer100g","VitaminA_L95","VitaminA_U95","Selenium_ugPer100g","Selenium_L95","Selenium_U95","Zinc_mgPer100g","Zinc_L95","Zinc_U95","Source","Notes","Lopt_ratio","Lmat_ratio"
"21",2022-09-17,"September","2022","Vanga","Sofia Saidi","5","Reef seine",1,21,"Belonidae","Tylosurus crocodilus",43.6,0.091,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.3,73.3,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",0.594815825375171,0.747855917667238
"22",2022-09-01,"September","2022","Vanga","Sofia Saidi","3","Ring net",1,35,"Caesionidae","Pterocaesio chrysozona",20.5,0.061,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,13.4,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",1.52985074626866,1.51851851851852
"23",2022-09-01,"September","2022","Vanga","Sofia Saidi","3","Ring net",1,35,"Caesionidae","Pterocaesio chrysozona",19.5,0.067,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,13.4,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",1.45522388059701,1.44444444444444
"24",2022-09-01,"September","2022","Vanga","Sofia Saidi","3","Ring net",1,35,"Caesionidae","Pterocaesio chrysozona",24.3,0.113,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,13.4,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",1.8134328358209,1.8
"25",2022-09-01,"September","2022","Vanga","Sofia Saidi","3","Ring net",1,35,"Caesionidae","Pterocaesio chrysozona",24.2,0.137,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,13.4,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",1.80597014925373,1.79259259259259
"26",2022-09-01,"September","2022","Vanga","Sofia Saidi","3","Ring net",1,35,"Caesionidae","Pterocaesio chrysozona",26.7,0.169,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,13.4,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",1.99253731343284,1.97777777777778
"27",2022-09-01,"September","2022","Vanga","Sofia Saidi","3","Ring net",1,35,"Caesionidae","Pterocaesio chrysozona",24.7,0.157,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,13.4,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",1.84328358208955,1.82962962962963
"28",2022-09-01,"September","2022","Vanga","Sofia Saidi","3","Ring net",1,35,"Caesionidae","Pterocaesio chrysozona",28.3,0.219,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,13.4,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",2.11194029850746,2.0962962962963
"29",2022-09-01,"September","2022","Vanga","Sofia Saidi","3","Ring net",1,35,"Caesionidae","Pterocaesio chrysozona",27.6,0.222,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,13.4,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",2.05970149253731,2.04444444444444
"30",2022-09-01,"September","2022","Vanga","Sofia Saidi","3","Ring net",1,35,"Caesionidae","Pterocaesio chrysozona",29.3,0.272,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,13.4,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",2.1865671641791,2.17037037037037
"31",2022-10-04,"October","2022","Vanga","Sofia Saidi","5","Ring net",1,35,"Caesionidae","Pterocaesio chrysozona",19.4,0.045,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,13.4,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",1.44776119402985,1.43703703703704
"32",2022-10-04,"October","2022","Vanga","Sofia Saidi","5","Ring net",1,35,"Caesionidae","Pterocaesio chrysozona",19.6,0.046,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,13.4,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",1.46268656716418,1.45185185185185
"33",2022-10-04,"October","2022","Vanga","Sofia Saidi","5","Ring net",1,35,"Caesionidae","Pterocaesio chrysozona",18.1,0.04,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,13.4,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",1.35074626865672,1.34074074074074
"34",2022-10-06,"October","2022","Vanga","Sofia Saidi","1","Ring net",1,23,"Carangidae","Alepes djedaba",13.7,0.019,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1,20.1,32.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",0.681592039800995,0.717277486910995
"35",2022-10-06,"October","2022","Vanga","Sofia Saidi","1","Ring net",1,23,"Carangidae","Alepes djedaba",12.2,0.018,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1,20.1,32.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",0.606965174129353,0.638743455497382
"36",2022-10-06,"October","2022","Vanga","Sofia Saidi","1","Ring net",1,23,"Carangidae","Alepes djedaba",11.9,0.015,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1,20.1,32.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",0.592039800995025,0.62303664921466
